strategy,mean_normalized_headroom,metrics_above_baseline,metrics_above_best_individual_headroom,best_normalized_headroom,worst_normalized_headroom
best_individual_test_oracle,0.5308228908385195,8,0,0.8321373485306923,0.24794753813252612
simple_mean_all_heads,0.36919022636227755,7,0,0.7575585029550382,-0.11678115023143368
validation_selected_single_head,0.5263441619213138,8,0,0.8321373485306923,0.24794753813252612
global_convex_validation,0.35657137944515216,7,0,0.7599999042893816,-0.11530307431612913
per_target_convex_validation,0.5265897280637276,8,3,0.8323292425111485,0.24794753813252612
per_target_ceiling_aware_validation,0.4768435901404227,8,1,0.760055755951113,0.24794753813252612
global_ridge_stacking_validation,-1.3121882192357945,0,0,-0.3963909986414872,-2.565492678785073
per_target_ridge_stacking_validation,0.5249266445228813,8,3,0.8129322016104211,0.2959036932258288
