,raw_score,normalized_headroom,delta_vs_best_individual,delta_headroom_vs_per_target_convex
trizod,0.45617371797561646,0.25123120661277176,-0.05167895555496216,-0.07201782697817799
chezod,0.661848247051239,0.2705030343620931,-0.045883893966674805,-0.06312274367290927
softdis,0.4998789429664612,0.3140419251642625,0.0,0.0
pdbflex,0.39538291096687317,0.24794753813252612,0.0,0.0
atlas,0.6594666838645935,0.510528267086848,-0.0485958456993103,-0.06985011944429953
plddt,0.8389335870742798,0.760055755951113,9.775161743164062e-06,1.4562277462548678e-05
"disprot
(AP)",0.8962899446487427,0.7123440016884427,-0.038872361183166504,-0.10876072518269086
"disprot
(AUROC)",0.9380306005477905,0.7480969921253249,-0.02067434787750244,-0.0842322503858236
