strategy,target_dataset,trizod,chezod,softdis,pdbflex,atlas,plddt,disprot
global_convex_validation,all,0.913832865825687,0.0,0.0,0.0,0.0,0.08616713417431293,0.0
per_target_convex_validation,trizod,0.9443334963946216,0.0,0.02304088165159008,0.0,0.002837671014572822,5.194065911501216e-06,0.02978275687330399
per_target_convex_validation,chezod,0.0,0.999756876538607,0.0,0.0,0.0,0.00024312346139304032,0.0
per_target_convex_validation,softdis,0.0,0.0,1.0,0.0,0.0,0.0,0.0
per_target_convex_validation,pdbflex,0.0,0.0,0.0,1.0,0.0,0.0,0.0
per_target_convex_validation,atlas,0.0,0.0,0.0,0.0,1.0,0.0,0.0
per_target_convex_validation,plddt,0.0,0.0,0.0,0.0,0.0,1.0,0.0
per_target_convex_validation,disprot,0.0,0.0005537533489186482,0.0,0.0,0.0,0.0,0.9994462466510814
per_target_ceiling_aware_validation,trizod,0.32945835405152035,0.14582120500332915,0.1368752844624094,0.011244303306017413,0.1263587457847187,0.12799209171258016,0.12225001567942485
per_target_ceiling_aware_validation,chezod,0.17669603708910192,0.37152811657966667,0.09076123382187415,0.0,0.05680041096951639,0.17655209857942616,0.12766210296041466
per_target_ceiling_aware_validation,softdis,0.0,0.0,1.0,0.0,0.0,0.0,0.0
per_target_ceiling_aware_validation,pdbflex,0.0,0.0,0.0,1.0,0.0,0.0,-0.0
per_target_ceiling_aware_validation,atlas,0.0,0.0,0.1862447538248014,0.020841175275907373,0.5990298642571723,0.03355562591799464,0.1603285807241242
per_target_ceiling_aware_validation,plddt,0.12262006113588036,0.1690595456305873,0.1877477754133263,0.001524629232075547,0.0776877073455468,0.3082976480145737,0.1330626332280099
per_target_ceiling_aware_validation,disprot,0.13893005748583537,0.1282587409032282,0.1343563612773456,0.0,0.12450527412498182,0.1255606280120021,0.34838893819660693
