strategy,mean_score,mean_delta_vs_best_individual,wins_vs_best_individual,ties_vs_best_individual,losses_vs_best_individual,best_delta,worst_delta
best_individual_test_oracle,0.6939625330269337,0.0,0,8,0,0.0,0.0
simple_mean_all_heads,0.5886659482493997,-0.10529658477753401,0,0,8,-0.0016665458679199219,-0.29322581738233566
validation_selected_single_head,0.6918864585459232,-0.002076074481010437,0,7,1,0.0,-0.016608595848083496
global_convex_validation,0.5814161347225308,-0.11254639830440283,0,0,8,-2.771615982055664e-05,-0.2920375093817711
per_target_convex_validation,0.6920113004744053,-0.0019512325525283813,3,4,1,0.0006271600723266602,-0.01662391424179077
per_target_ceiling_aware_validation,0.6682505793869495,-0.02571195363998413,1,2,5,9.775161743164062e-06,-0.05167895555496216
global_ridge_stacking_validation,-0.23700785357505083,-0.9309703866019845,0,0,8,-0.5180198326706886,-1.4328546524047852
per_target_ridge_stacking_validation,0.6922721639275551,-0.0016903690993785858,3,0,5,0.038554638624191284,-0.04848766326904297
