train_dataset,test_metric,udon_score,baseline_score,annotation_ceiling,raw_headroom,available_headroom,normalized_headroom,status,test_dataset,ceiling_metric,ceiling_source,ceiling_pair,match_mode,n_residues_compared
plddt,chezod,0.624582,0.536459,0.691031,0.088123,0.154572,0.570110,ok,chezod,spearman,annotation_overlap,chezod vs plddt,sequence,1385.000000
plddt,softdis,0.283637,0.270916,0.656777,0.012721,0.385861,0.032968,ok,softdis,spearman,annotation_overlap,softdis vs plddt,sequence,2521.000000
plddt,pdbflex,0.103985,0.196044,0.011500,-0.092059,-0.184544,,ceiling_not_above_baseline,pdbflex,spearman,annotation_overlap,pdbflex vs plddt,sequence,1412.000000
plddt,atlas,0.512167,0.304284,0.295052,0.207883,-0.009232,,ceiling_not_above_baseline,atlas,spearman,annotation_overlap,atlas vs plddt,sequence,424.000000
plddt,plddt,0.838924,0.328734,1.000000,0.510190,0.671266,0.760041,ok,plddt,spearman,diagonal,plddt vs plddt,diagonal,
plddt,"disprot
(AP)",0.874971,0.639465,,0.235506,,,missing_ceiling,disprot,average_precision,missing,,,
plddt,"disprot
(AUROC)",0.927180,0.753995,,0.173185,,,missing_ceiling,disprot,auroc,missing,,,
disprot,trizod,0.364121,0.273706,,0.090415,,,missing_ceiling,trizod,spearman,missing,,,
disprot,chezod,0.663372,0.536459,,0.126913,,,missing_ceiling,chezod,spearman,missing,chezod vs disprot,sequence,465.000000
disprot,softdis,0.254746,0.270916,0.488921,-0.016170,0.218005,-0.074173,ok,softdis,spearman,annotation_overlap,softdis vs disprot,sequence,2642.000000
disprot,pdbflex,0.098709,0.196044,-0.151455,-0.097335,-0.347499,,ceiling_not_above_baseline,pdbflex,spearman,annotation_overlap,pdbflex vs disprot,sequence,2335.000000
disprot,atlas,0.623971,0.304284,,0.319687,,,missing_ceiling,atlas,spearman,missing,,,
disprot,plddt,0.774079,0.328734,,0.445345,,,missing_ceiling,plddt,spearman,missing,,,
disprot,"disprot
(AP)",0.935162,0.639465,1.000000,0.295697,0.360535,0.820162,ok,disprot,average_precision,diagonal,disprot vs disprot,diagonal,
disprot,"disprot
(AUROC)",0.958705,0.753995,1.000000,0.204710,0.246005,0.832138,ok,disprot,auroc,diagonal,disprot vs disprot,diagonal,
