train_dataset,trizod,chezod,softdis,pdbflex,atlas,plddt,"disprot
(AP)","disprot
(AUROC)"
trizod,0.623445,0.611127,0.510133,0.125463,0.771003,0.668386,0.516385,0.348322
chezod,0.782698,0.898855,0.568298,0.052716,0.737662,1.074764,0.662322,0.617070
softdis,0.332498,0.012924,0.583493,0.145842,0.386412,0.262533,0.243141,0.096423
pdbflex,0.127102,-0.208077,0.360412,0.425286,0.114580,-0.012991,-0.067942,-0.068353
atlas,0.526074,1.039807,0.234982,-0.059013,0.912279,1.175439,0.672555,0.750110
plddt,0.639856,0.892942,0.522709,0.052688,0.665209,1.337959,0.673731,0.746135
disprot,0.405716,0.763981,0.244763,0.030793,0.632826,0.848465,0.636190,0.472239
