disagreement_type,n_windows,median_priority,median_disagreement,median_boundary_uncertainty,median_nmr_suitability
possible_molecular_recognition_element,118,0.5353305516489008,0.8123405251500507,0.6373516562078005,0.99375
broad_multimodel_spread,15,0.5027551051362945,1.1135714028498989,0.4812040493905618,0.9641025641025641
plddt_uncertainty_outlier,12,0.48706094907516917,0.5764660023424678,0.880730884987776,0.9932414596273291
nmr_vs_curated_conflict,49,0.3392785160763254,0.8567424665312378,0.3674698369829039,0.99375
tmh_or_signal_peptide_like_artifact,80,0.16575509336327343,0.31797462876112337,0.6290131596367199,0.7970846693940734
general_predictor_spread,5371,0.15231722896346545,0.26090456066681444,0.6081875711600074,0.9895955882352941
