continuous_dataset,binary_dataset,threshold,n_residues,positive_rate_true,positive_rate_pred,f1,mcc,balanced_accuracy,jaccard
softdis,disprot,0.1,2642,0.0987887963663891,0.4197577592732778,0.3722627737226277,0.37384321831307465,0.8091693338547022,0.22869955156950672
softdis,disprot,0.15,2642,0.0987887963663891,0.36866010598031795,0.4064777327935223,0.40697655900643315,0.8290159484166639,0.2550813008130081
softdis,disprot,0.2,2642,0.0987887963663891,0.3493565480696442,0.4189189189189189,0.4172437310302859,0.8333486203839142,0.26495726495726496
softdis,disprot,0.25,2642,0.0987887963663891,0.30620741862225587,0.44299065420560746,0.4323125910452316,0.8339053908577001,0.2845138055222089
softdis,disprot,0.3,2642,0.0987887963663891,0.2660862982588948,0.487551867219917,0.47522507991503277,0.8519135364419148,0.3223593964334705
softdis,disprot,0.35,2642,0.0987887963663891,0.24867524602573807,0.485838779956427,0.4639702629594038,0.8360648878976443,0.320863309352518
softdis,disprot,0.4,2642,0.0987887963663891,0.232778198334595,0.5045662100456622,0.48100835456439756,0.8406333022764833,0.3374045801526718
softdis,disprot,0.45,2642,0.0987887963663891,0.21725965177895534,0.5221556886227545,0.4961616292893628,0.8428660162428936,0.353322528363047
softdis,disprot,0.5,2642,0.0987887963663891,0.21688115064345193,0.5227817745803357,0.49677844515235303,0.8430760120429776,0.3538961038961039
softdis,disprot,0.55,2642,0.0987887963663891,0.18168054504163514,0.582995951417004,0.5546180470365267,0.8583542122261003,0.4114285714285714
softdis,disprot,0.6,2642,0.0987887963663891,0.17789553368660105,0.5718194254445964,0.5392528717682987,0.8455742379405286,0.4003831417624521
softdis,disprot,0.65,2642,0.0987887963663891,0.16161998485995457,0.6017441860465116,0.5679819686574398,0.8503526481194514,0.4303534303534304
softdis,disprot,0.7,2642,0.0987887963663891,0.1506434519303558,0.6251896813353566,0.5911106121919079,0.8543168217095428,0.45474613686534215
softdis,disprot,0.75,2642,0.0987887963663891,0.14912944738834216,0.6229007633587786,0.5878597543756005,0.8509053956851897,0.4523281596452328
softdis,disprot,0.8,2642,0.0987887963663891,0.13663890991672975,0.6334405144694534,0.595869633527436,0.84295532480155,0.46352941176470586
softdis,disprot,0.85,2642,0.0987887963663891,0.12263436790310371,0.6427350427350428,0.6032636596010998,0.8315938278935571,0.473551637279597
softdis,disprot,0.9,2642,0.0987887963663891,0.10787282361847085,0.6483516483516484,0.6086469559207307,0.816400913361043,0.4796747967479675
pdbflex,disprot,0.1,2335,0.05481798715203426,0.25738758029978587,0.09327846364883402,0.004537536323329935,0.5043575838241958,0.04892086330935252
pdbflex,disprot,0.15,2335,0.05481798715203426,0.17944325481798715,0.1206581352833638,0.04918487852774288,0.5414572241730856,0.06420233463035019
pdbflex,disprot,0.2,2335,0.05481798715203426,0.15417558886509636,0.13524590163934427,0.06911468981826378,0.5548237851155415,0.07252747252747253
pdbflex,disprot,0.25,2335,0.05481798715203426,0.1443254817987152,0.14193548387096774,0.07777216629375655,0.5600344783642954,0.0763888888888889
pdbflex,disprot,0.3,2335,0.05481798715203426,0.1340471092077088,0.14965986394557823,0.08748370676532592,0.56547172349343,0.08088235294117647
pdbflex,disprot,0.35,2335,0.05481798715203426,0.12205567451820129,0.15980629539951574,0.09987413168950197,0.5718151761440871,0.0868421052631579
pdbflex,disprot,0.4,2335,0.05481798715203426,0.115203426124197,0.16624685138539042,0.10757133640131586,0.5754400062301768,0.09065934065934066
pdbflex,disprot,0.45,2335,0.05481798715203426,0.10835117773019272,0.15748031496062992,0.09764336269872405,0.5666664306751246,0.08547008547008547
pdbflex,disprot,0.5,2335,0.05481798715203426,0.10364025695931478,0.16216216216216217,0.10329740788622449,0.5691585013593112,0.08823529411764706
pdbflex,disprot,0.55,2335,0.05481798715203426,0.09978586723768737,0.16066481994459833,0.10186748859347759,0.5670646664023562,0.08734939759036145
pdbflex,disprot,0.6,2335,0.05481798715203426,0.09635974304068523,0.15864022662889518,0.09988610146502247,0.5647442795650204,0.08615384615384615
pdbflex,disprot,0.65,2335,0.05481798715203426,0.09122055674518201,0.15835777126099707,0.10013452247151028,0.563330100249207,0.08598726114649681
pdbflex,disprot,0.7,2335,0.05481798715203426,0.08993576017130621,0.15384615384615385,0.09528109330460531,0.5598769540099683,0.08333333333333333
pdbflex,disprot,0.75,2335,0.05481798715203426,0.08865096359743041,0.14925373134328357,0.0903706807507563,0.5564238077707295,0.08064516129032258
pdbflex,disprot,0.8,2335,0.05481798715203426,0.08779443254817987,0.15015015015015015,0.09149669787005572,0.5568769115314907,0.08116883116883117
pdbflex,disprot,0.85,2335,0.05481798715203426,0.08565310492505353,0.14634146341463414,0.08764447808344,0.5538768690530131,0.07894736842105263
pdbflex,disprot,0.9,2335,0.05481798715203426,0.08265524625267666,0.13707165109034267,0.07803031059781625,0.5471971284549162,0.07357859531772576
