strategy,trizod,chezod,softdis,pdbflex,atlas,plddt,"disprot
(AP)","disprot
(AUROC)"
best_individual_test_oracle,0.5078527331352234,0.7077322006225586,0.6532204747200012,0.3953828811645508,0.7080625295639038,0.8389238119125366,0.9351623058319092,0.9587050080299377
simple_mean_all_heads,0.4542046785354614,0.6499372720718384,0.47026684880256653,0.1021570935845375,0.5295915603637695,0.8372573256492615,0.8933231830596924,0.9368590116500854
validation_selected_single_head,0.5078527331352234,0.6911235451698303,0.6532204747200012,0.3953828811645508,0.7080625295639038,0.8389238119125366,0.9351623058319092,0.9587050080299377
ceiling_aware_selected_single_head,0.5078527331352234,0.6911235451698303,0.6532204747200012,0.3953828811645508,0.7080625295639038,0.8389238119125366,0.9351623058319092,0.9587050080299377
global_convex_validation,0.4344612956047058,0.6432051658630371,0.451417475938797,0.10334539413452148,0.5214722752571106,0.8388960957527161,0.8880374431610107,0.9338501691818237
per_target_convex_validation,0.5084795355796814,0.6911081075668335,0.6532204747200012,0.3953828811645508,0.7081676125526428,0.8389238119125366,0.9355020523071289,0.9587521553039551
per_target_ceiling_aware_validation,0.45617371797561646,0.661848247051239,0.4793854355812073,0.3953828811645508,0.6594666242599487,0.8389337062835693,0.8962899446487427,0.9380306005477905
global_ridge_stacking_validation,-0.42096951603889465,-0.6527520418167114,-0.2564865052700043,-0.12263692915439606,-0.275614857673645,-0.5939308404922485,0.19079461693763733,0.12572520971298218
per_target_ridge_stacking_validation,0.5020101070404053,0.701849639415741,0.657004177570343,0.43393757939338684,0.6595749258995056,0.8468966484069824,0.9322581887245178,0.9539803266525269
