,trizod,chezod,softdis,pdbflex,atlas,plddt,disprot
trizod,0.3181286047401428,0.14080653055882114,0.13216825306006474,0.010857610319608035,0.12201333992195129,0.1235905461939051,0.11804596535873413
chezod,0.1244396614052052,0.26165178310012815,0.06391935267307723,0.0,0.04000217354579548,0.12433823783376415,0.08990712409782409
softdis,0.03381302692923163,0.01730553877013241,0.3684878796424866,0.005411633852934895,0.0648601552608529,0.08716018726225651,0.0831802460665795
pdbflex,0.0,0.0,0.0,0.15408268371200562,0.0,0.0,0.0
atlas,0.0,0.0,0.11444078129110889,0.012806161422637458,0.36808255950546265,0.02061873941630519,0.09851618428993225
plddt,0.1982804218667846,0.27337445955038275,0.3035938990842679,0.002465372131332397,0.12562340050117035,0.4985267326507568,0.2151662610607147
disprot,0.10606162460327151,0.09791504056930544,0.10257007618923503,0.0,0.09504957707405093,0.09585525305747988,0.26596638980865484
