length_bin,n_proteins,median_length,mean_disorder_percentile,mean_predictor_disagreement
<200,3847,131.0,0.5680024711984365,0.16372884588441664
200-499,8715,338.0,0.4627578776587214,0.1165130911945591
500-999,5675,660.0,0.5012671529296523,0.11350207297047317
>=1000,2422,1353.0,0.5239162290578558,0.14603269039474734
