train_dataset,trizod,chezod,softdis,pdbflex,atlas,plddt,"disprot
(AP)","disprot
(AUROC)"
trizod,-0.028532,0.029787,-0.028204,0.003487,0.033704,0.032064,0.412854,0.587660
chezod,-0.120169,-0.122352,-0.125748,-0.185395,-0.175263,-0.048773,0.298754,0.449317
softdis,0.029408,0.135935,-0.020897,0.042374,0.084481,0.235016,0.586242,0.704119
pdbflex,0.029687,0.053776,-0.043945,-0.017581,-0.043407,0.076382,0.408322,0.588871
atlas,0.023891,-0.139977,0.174318,0.130155,0.030900,-0.065767,0.252697,0.370956
plddt,-0.001184,0.011741,-0.004082,0.014644,0.214949,0.035599,0.321441,0.509603
disprot,0.007087,0.096775,-0.021845,0.009940,-0.013446,0.168659,0.333382,0.545867
