train_dataset,trizod,chezod,softdis,pdbflex,atlas,plddt,"disprot
(AP)","disprot
(AUROC)"
trizod,-0.030191,0.046243,0.050097,0.067084,0.131701,0.067892,0.456361,0.628706
chezod,-0.007618,-0.065131,-0.043055,-0.175371,-0.114996,0.077572,0.306454,0.488074
softdis,0.068659,0.063816,0.015333,0.022340,0.039790,0.191483,0.513013,0.669825
pdbflex,-0.160049,-0.175461,-0.060795,-0.049482,0.024677,-0.134386,0.308066,0.474452
atlas,-0.069091,-0.191676,-0.022963,0.021684,-0.031058,-0.281475,0.224460,0.288408
plddt,0.027122,0.014286,0.007431,0.014310,0.054368,-0.002193,0.316417,0.499998
disprot,0.011210,0.126413,-0.029880,-0.041030,-0.045171,0.036377,0.322836,0.534307
