predictor_a,predictor_b,length_bin,n_common_proteins,protein_mean_score_spearman
softdis,metapredict,<200,3847,0.6802909101281186
softdis,metapredict,200-499,8715,0.9189337610835462
softdis,metapredict,500-999,5675,0.9466722598813553
softdis,metapredict,>=1000,2422,0.9120501249774818
softdis,PUNCH2_light,<200,3746,0.8371578642943295
softdis,PUNCH2_light,200-499,8704,0.9542714866749189
softdis,PUNCH2_light,500-999,5670,0.960982036836034
softdis,PUNCH2_light,>=1000,1957,0.9526627033249302
softdis,DisoFLAG,<200,3847,0.6504023611056958
softdis,DisoFLAG,200-499,8715,0.7928873505728129
softdis,DisoFLAG,500-999,5675,0.8073278944251823
softdis,DisoFLAG,>=1000,1958,0.7609899459249944
softdis,DisorderUnetLM,<200,3847,0.7227726496576544
softdis,DisorderUnetLM,200-499,8715,0.8109138170290766
softdis,DisorderUnetLM,500-999,5675,0.688271052170722
softdis,DisorderUnetLM,>=1000,2422,0.5951672284314412
softdis,DisPredict3,<200,3835,0.586290139414586
softdis,DisPredict3,200-499,8705,0.689980183714076
softdis,DisPredict3,500-999,5670,0.49892487193396623
softdis,DisPredict3,>=1000,2386,0.44367221013390423
atlas,plddt,<200,3847,0.7428460017552562
atlas,plddt,200-499,8715,0.8878776763944214
atlas,plddt,500-999,5675,0.9122230085989347
atlas,plddt,>=1000,2422,0.911701127434332
atlas,disprot,<200,3847,0.8678936226453807
atlas,disprot,200-499,8715,0.9522957955794893
atlas,disprot,500-999,5675,0.9471050042577588
atlas,disprot,>=1000,2422,0.9440282150370132
atlas,SETH,<200,3847,0.8126496654747216
atlas,SETH,200-499,8715,0.843613547146683
atlas,SETH,500-999,5675,0.8604859292479565
atlas,SETH,>=1000,2422,0.870869624374792
atlas,IUPred3,<200,3847,0.45162553549551826
atlas,IUPred3,200-499,8715,0.7597028619082185
atlas,IUPred3,500-999,5675,0.8301061012970379
atlas,IUPred3,>=1000,2422,0.8794875763881144
atlas,ADOPT,<200,3847,0.7545221245399684
atlas,ADOPT,200-499,8715,0.8538915437725013
atlas,ADOPT,500-999,5675,0.8846921707986726
atlas,ADOPT,>=1000,2422,0.8296326538182237
atlas,metapredict,<200,3847,0.7208970164379792
atlas,metapredict,200-499,8715,0.9016778736193253
atlas,metapredict,500-999,5675,0.9011757087350221
atlas,metapredict,>=1000,2422,0.8908400977162207
atlas,PUNCH2_light,<200,3746,0.813409836672416
atlas,PUNCH2_light,200-499,8704,0.9303976390095923
atlas,PUNCH2_light,500-999,5670,0.9226540462517485
atlas,PUNCH2_light,>=1000,1957,0.9172758144136612
