,SETH,IUPred3,ADOPT,metapredict,PUNCH2_light,DisoFLAG,DisorderUnetLM,DisPredict3
SETH,100.0,57.35721200387221,76.0890609874153,71.53920619554695,74.60159362549801,45.198019801980195,56.87318489835431,42.23300970873787
IUPred3,57.35721200387221,100.0,55.80832526621491,55.324298160697,62.5,34.257425742574256,39.303000968054214,35.77669902912621
ADOPT,76.0890609874153,55.80832526621491,100.0,76.5246853823814,71.36454183266932,38.76237623762376,53.920619554695065,35.63106796116505
metapredict,71.53920619554695,55.324298160697,76.5246853823814,100.0,68.97410358565737,36.93069306930693,51.210067763794775,35.33980582524272
PUNCH2_light,74.60159362549801,62.5,71.36454183266932,68.97410358565737,100.0,43.97410358565737,53.286852589641434,38.99402390438247
DisoFLAG,45.198019801980195,34.257425742574256,38.76237623762376,36.93069306930693,43.97410358565737,100.0,68.06930693069307,61.92364898363907
DisorderUnetLM,56.87318489835431,39.303000968054214,53.920619554695065,51.210067763794775,53.286852589641434,68.06930693069307,100.0,60.19417475728155
DisPredict3,42.23300970873787,35.77669902912621,35.63106796116505,35.33980582524272,38.99402390438247,61.92364898363907,60.19417475728155,100.0
