,trizod,chezod,softdis,atlas,plddt,disprot,PUNCH2_light,DisoFLAG,DisorderUnetLM,DisPredict3
trizod,0.0,0.5750926070493043,0.9659566374033101,1.0434267580164995,0.9075465910050613,0.8669836023270897,0.9105735999651207,1.0291242987799443,1.0425680725001207,1.000722652030347
chezod,0.5750926070493043,0.0,0.9851027601515604,1.0409221171035163,0.9474967580702308,0.8309166604900502,0.8842130421473771,1.0388883187691238,1.0435636909192152,1.012057766770742
softdis,0.9659566374033101,0.9851027601515604,0.0,1.0434267580164995,0.913208203696708,1.036299534157709,1.013760081311952,0.953002012944173,0.9534505349143999,0.9062635568607342
atlas,1.0434267580164995,1.0409221171035163,1.0434267580164995,0.0,0.998317255199241,1.0405470044560499,1.0585370408841674,1.0537258630346766,1.0426561753553707,1.0451013031896526
plddt,0.9075465910050613,0.9474967580702308,0.913208203696708,0.998317255199241,0.0,1.0089468302440177,0.986542816042001,0.9054062089430435,0.9700265582377698,0.8465587586092556
disprot,0.8669836023270897,0.8309166604900502,1.036299534157709,1.0405470044560499,1.0089468302440177,0.0,0.9149087801503302,1.0539538164100564,1.0283446280868178,1.0419564651626694
PUNCH2_light,0.9105735999651207,0.8842130421473771,1.013760081311952,1.0585370408841674,0.986542816042001,0.9149087801503302,0.0,1.0508470653679385,1.0562730780270506,1.0325993042968975
DisoFLAG,1.0291242987799443,1.0388883187691238,0.953002012944173,1.0537258630346766,0.9054062089430435,1.0539538164100564,1.0508470653679385,0.0,0.9840795027285322,1.0257289452410912
DisorderUnetLM,1.0425680725001207,1.0435636909192152,0.9534505349143999,1.0426561753553707,0.9700265582377698,1.0283446280868178,1.0562730780270506,0.9840795027285322,0.0,1.0231611714016706
DisPredict3,1.000722652030347,1.012057766770742,0.9062635568607342,1.0451013031896526,0.8465587586092556,1.0419564651626694,1.0325993042968975,1.0257289452410912,1.0231611714016706,0.0
