disagreement_type,n_windows,median_priority,median_disagreement,median_boundary_uncertainty,median_nmr_suitability
possible_molecular_recognition_element,206,0.539566012572207,0.8243847797715638,0.6329105152268232,0.99375
plddt_uncertainty_outlier,12,0.47709059622444194,0.6130795022896945,0.8613440305028199,0.9895682417703924
broad_multimodel_spread,38,0.3958068419104606,0.9484515171807522,0.43353956023588247,0.990625
nmr_vs_curated_conflict,40,0.39352141360218973,1.046923978635617,0.391042747069437,0.990625
pdbflex_high_outlier,445,0.3328781906426242,0.41908626593596543,0.8482623908249455,0.9876226251370113
tmh_or_signal_peptide_like_artifact,80,0.23016721958609662,0.3939537359951712,0.6556093187930507,0.7970846693940734
general_predictor_spread,4824,0.17506095618860376,0.30194402406113235,0.5977997420272423,0.9895955882352941
