dataset_a,dataset_b,comparison_level,match_mode,min_identity,min_coverage,n_proteins_overlap,n_residues_compared,annotation_type_a,annotation_type_b,metric,value,threshold_used,notes
chezod,plddt,exact,sequence,,,12,1385,continuous,continuous,protein_pearson,0.887732,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; CheZOD labels negated following existing project convention
chezod,plddt,exact,sequence,,,12,1385,continuous,continuous,protein_mae,4.184260,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; CheZOD labels negated following existing project convention
chezod,plddt,exact,sequence,,,12,1385,continuous,continuous,protein_rmse,5.692259,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; CheZOD labels negated following existing project convention
chezod,disprot,exact,sequence,,,1,465,continuous,binary,auroc,,0.5,CheZOD labels negated following existing project convention; AUROC/AP/F1 undefined because binary annotation has one class
chezod,disprot,exact,sequence,,,1,465,continuous,binary,average_precision,,0.5,CheZOD labels negated following existing project convention; AUROC/AP/F1 undefined because binary annotation has one class
chezod,disprot,exact,sequence,,,1,465,continuous,binary,f1_thresholded,,0.5,CheZOD labels negated following existing project convention; AUROC/AP/F1 undefined because binary annotation has one class
chezod,disprot,exact,sequence,,,1,465,continuous,binary,spearman,,0.5,CheZOD labels negated following existing project convention; Spearman undefined because one input has fewer than two values
chezod,disprot,exact,sequence,,,1,465,continuous,binary,protein_spearman,,0.5,CheZOD labels negated following existing project convention; protein-level correlation undefined because fewer than two proteins overlap
chezod,disprot,exact,sequence,,,1,465,continuous,binary,protein_pearson,,0.5,CheZOD labels negated following existing project convention; protein-level correlation undefined because fewer than two proteins overlap
softdis,pdbflex,exact,sequence,,,748,123212,continuous,continuous,spearman,0.077090,0.5,
softdis,pdbflex,exact,sequence,,,748,123212,continuous,continuous,pearson,0.073246,0.5,
softdis,pdbflex,exact,sequence,,,748,123212,continuous,continuous,mae,0.371777,0.5,
softdis,pdbflex,exact,sequence,,,748,123212,continuous,continuous,rmse,1.689196,0.5,
softdis,pdbflex,exact,sequence,,,748,123212,continuous,continuous,protein_spearman,0.040218,0.5,
softdis,pdbflex,exact,sequence,,,748,123212,continuous,continuous,protein_pearson,0.048665,0.5,
softdis,pdbflex,exact,sequence,,,748,123212,continuous,continuous,protein_mae,0.255240,0.5,
softdis,pdbflex,exact,sequence,,,748,123212,continuous,continuous,protein_rmse,0.575706,0.5,
softdis,atlas,exact,id+sequence,,,17,1558,continuous,continuous,spearman,0.315038,0.5,
softdis,atlas,exact,id+sequence,,,17,1558,continuous,continuous,pearson,0.348152,0.5,
softdis,atlas,exact,id+sequence,,,17,1558,continuous,continuous,mae,0.592993,0.5,
softdis,atlas,exact,id+sequence,,,17,1558,continuous,continuous,rmse,0.907752,0.5,
softdis,atlas,exact,id+sequence,,,17,1558,continuous,continuous,protein_spearman,0.487745,0.5,
softdis,atlas,exact,id+sequence,,,17,1558,continuous,continuous,protein_pearson,0.431118,0.5,
softdis,atlas,exact,id+sequence,,,17,1558,continuous,continuous,protein_mae,0.642458,0.5,
softdis,atlas,exact,id+sequence,,,17,1558,continuous,continuous,protein_rmse,0.854034,0.5,
softdis,plddt,exact,sequence,,,10,2521,continuous,continuous,spearman,0.656777,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
softdis,plddt,exact,sequence,,,10,2521,continuous,continuous,pearson,0.716291,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
softdis,plddt,exact,sequence,,,10,2521,continuous,continuous,mae,0.192838,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
softdis,plddt,exact,sequence,,,10,2521,continuous,continuous,rmse,0.303634,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
softdis,plddt,exact,sequence,,,10,2521,continuous,continuous,protein_spearman,0.696970,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
