,with_pdbflex,without_pdbflex,delta_without_pdbflex_minus_with_pdbflex
priority_score,0.1967489856015468,0.1574955636565675,-0.0392534219449793
mean_disagreement,0.3288022438039701,0.2662739342591347,-0.0625283095448354
boundary_uncertainty,0.6156172622357385,0.6072108807512733,-0.008406381484465264
nmr_suitability,0.989595588235294,0.989595588235294,0.0
concept_family_spread_z,0.5953720028859881,0.3148359555539113,-0.2805360473320768
possible_more_score,0.6322172298963047,0.6009919872190826,-0.031225242677222043
tmh_like_score,0.0304511278195488,0.0304511278195488,0.0
