,trizod,chezod,softdis,pdbflex,atlas,plddt,"disprot
(AP)","disprot
(AUROC)"
trizod,1.0,0.940091,0.308778,0.142931,0.175862,0.499411,,
chezod,0.940091,1.0,0.301812,0.122825,0.623305,0.563213,0.924921,0.687011
softdis,0.308778,0.301812,1.0,0.141467,0.436362,0.560025,0.406065,0.88324
pdbflex,0.142931,0.122825,0.141467,1.0,0.286866,0.339407,0.068471,0.274089
atlas,0.175862,0.623305,0.436362,0.286866,1.0,0.250323,0.294488,0.843063
plddt,0.499411,0.563213,0.560025,0.339407,0.250323,1.0,0.826674,0.88267
disprot,,0.687011,0.88324,0.274089,0.843063,0.88267,1.0,1.0
