strategy,trizod,chezod,softdis,pdbflex,atlas,plddt,"disprot
(AP)","disprot
(AUROC)"
best_individual_test_oracle,0.32238557088627323,0.3694886100608731,0.5243625492266668,0.24794757331502584,0.5803784637022332,0.7600410044299355,0.8201625645843686,0.8321376344421678
simple_mean_all_heads,0.24851983105084824,0.24480756896766337,0.27342638542009623,-0.11678137834334419,0.323849957559749,0.7575585259454358,0.7041178558315555,0.7433343150835392
same_dataset_head,0.32238557088627323,0.3336587314328437,0.5243625492266668,0.24794757331502584,0.5803784637022332,0.7600410044299355,0.8201625645843686,0.8321376344421678
validation_selected_single_head,0.32238557088627323,0.3336587314328437,0.5243625492266668,0.24794757331502584,0.5803784637022332,0.7600410044299355,0.8201625645843686,0.8321376344421678
exact_ceiling_weighted,0.25755514022604714,0.30802602009781466,0.3523319514539883,0.24794757331502584,0.5921570854015613,0.7609151759059605,0.8193723940263473,0.8339797674235465
mmseqs95_ceiling_weighted,0.2893881853647975,0.3218861331071295,0.3688420759114539,0.24794757331502584,0.6032037953766562,0.7609966034144128,0.7172412620149736,0.7520251074567816
mmseqs80_ceiling_weighted,0.28937131452767634,0.32157302348153105,0.3760540299310319,0.24794757331502584,0.6028406817776213,0.7609974046173178,0.7187717739773514,0.7525802820092395
blended_exact_mmseqs_bio_weighted,0.2882494553142371,0.323052061851194,0.3871950456083946,0.24794757331502584,0.6004605277689645,0.7608053791021662,0.7231846807351081,0.7563950010442209
ceiling_aware_selected_single_head,0.32238560849356235,0.33365882450490963,0.5243627273674929,0.24794750106293229,0.5803783865311475,0.7600411936736504,0.820162552406588,0.8321375908210713
global_convex_validation,0.22133639490992052,0.23028419463011274,0.24757294898639526,-0.1153030835835277,0.31217950321267673,0.7599999042893816,0.6894544029317841,0.7311037140782651
per_target_convex_validation,0.32324862325680975,0.33362552086403036,0.5243627273674929,0.24794750106293229,0.5805294294692702,0.7600411936736504,0.8211048921939029,0.8323292425111489
per_target_ceiling_aware_validation,0.2512312066127717,0.2705030343620931,0.2859333568988035,0.24794750106293229,0.5105281814130317,0.7600559335398624,0.7123440016884427,0.7480969921253244
global_ridge_stacking_validation,-0.9564659986711919,-2.565492678785073,-0.7233768746399649,-0.39639100790888554,-0.8335281316997812,-1.374514485304259,-1.2444572179188222,-2.553890328599085
per_target_ridge_stacking_validation,0.31434117181252397,0.35679829705622795,0.5295523939221585,0.2959037302954226,0.5106838507372342,0.7719185068318407,0.8121075310982785,0.8129319593200417
