strategy,trizod,chezod,softdis,pdbflex,atlas,plddt,"disprot
(AP)","disprot
(AUROC)"
best_individual_test_oracle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simple_mean_all_heads,-0.05364824364803017,-0.05779477446938752,-0.18295354205274972,-0.29322602905945655,-0.17847098617942458,-0.0016664034023761154,-0.04183817907019549,-0.021846060578819437
same_dataset_head,0.0,-0.016608617769115375,0.0,0.0,0.0,0.0,0.0,0.0
validation_selected_single_head,0.0,-0.016608617769115375,0.0,0.0,0.0,0.0,0.0,0.0
exact_ceiling_weighted,-0.04708595280593825,-0.02849043041406607,-0.12542475634649553,0.0,0.008194575574169694,0.000586801590025332,-0.0002848841421362325,0.00045317392408406043
mmseqs95_ceiling_weighted,-0.023965803119934737,-0.022065699769615255,-0.1133874887665487,0.0,0.015879948451202885,0.0006414611079140764,-0.037106731821856864,-0.019708082201039923
mmseqs80_ceiling_weighted,-0.02397805630771077,-0.022210838918574782,-0.10812936848213872,0.0,0.01562732451053661,0.000641998928183396,-0.03655492869150101,-0.019571506485262513
blended_exact_mmseqs_bio_weighted,-0.024792855923276402,-0.021525243993662846,-0.10000663220802442,0.0,0.01397141328425,0.0005130987287295108,-0.034963921353593164,-0.018633066529061937
