metric,best_non_oracle_strategy,best_non_oracle_score,best_individual_oracle_score,same_dataset_score,validation_selected_score,delta_best_non_oracle_vs_same,delta_best_non_oracle_vs_validation
trizod,same_dataset_head,0.507852705821275,0.507852705821275,0.507852705821275,0.507852705821275,0.0,0.0
chezod,same_dataset_head,0.6911235020271118,0.7077321197962272,0.6911235020271118,0.6911235020271118,0.0,0.0
softdis,same_dataset_head,0.6532203448403752,0.6532203448403752,0.6532203448403752,0.6532203448403752,0.0,0.0
pdbflex,same_dataset_head,0.3953829392520549,0.3953829392520549,0.3953829392520549,0.3953829392520549,0.0,0.0
atlas,mmseqs95_ceiling_weighted,0.7239425317042658,0.7080625832530629,0.7080625832530629,0.7080625832530629,0.015879948451202885,0.015879948451202885
plddt,mmseqs80_ceiling_weighted,0.8395656838078485,0.8389236848796651,0.8389236848796651,0.8389236848796651,0.000641998928183396,0.000641998928183396
"disprot
(AP)",same_dataset_head,0.9351623102224254,0.9351623102224254,0.9351623102224254,0.9351623102224254,0.0,0.0
"disprot
(AUROC)",exact_ceiling_weighted,0.9591581926850296,0.9587050187609455,0.9587050187609455,0.9587050187609455,0.00045317392408406043,0.00045317392408406043
