dataset_a,dataset_b,comparison_level,match_mode,min_identity,min_coverage,n_proteins_overlap,n_residues_compared,annotation_type_a,annotation_type_b,metric,value,threshold_used,notes
trizod,softdis,mmseqs_100,mmseqs,100.0,0.8,25,2488,continuous,continuous,mae,0.162214,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_100,mmseqs,100.0,0.8,25,2488,continuous,continuous,rmse,0.259628,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_98,mmseqs,98.0,0.8,39,4740,continuous,continuous,spearman,0.308605,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_98,mmseqs,98.0,0.8,39,4740,continuous,continuous,pearson,0.451037,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_98,mmseqs,98.0,0.8,39,4740,continuous,continuous,mae,0.156766,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_98,mmseqs,98.0,0.8,39,4740,continuous,continuous,rmse,0.250007,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_95,mmseqs,95.0,0.8,44,5241,continuous,continuous,spearman,0.315630,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_95,mmseqs,95.0,0.8,44,5241,continuous,continuous,pearson,0.449215,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_95,mmseqs,95.0,0.8,44,5241,continuous,continuous,mae,0.155441,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_95,mmseqs,95.0,0.8,44,5241,continuous,continuous,rmse,0.248370,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_90,mmseqs,90.0,0.8,45,5302,continuous,continuous,spearman,0.315195,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_90,mmseqs,90.0,0.8,45,5302,continuous,continuous,pearson,0.455664,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
